t/min ; Abs
0.00E+00;9.11E-01
5.00E-01;8.25E-01
1.00E+00;7.58E-01
1.50E+00;6.93E-01
2.00E+00;6.31E-01
2.50E+00;5.69E-01
3.00E+00;5.18E-01
3.50E+00;4.71E-01
4.00E+00;4.31E-01
4.50E+00;3.98E-01
5.00E+00;3.58E-01
5.50E+00;3.25E-01
6.00E+00;3.02E-01
6.50E+00;2.70E-01
7.00E+00;2.46E-01
7.50E+00;2.26E-01
8.00E+00;2.04E-01
8.50E+00;1.83E-01
9.00E+00;1.70E-01
9.50E+00;1.52E-01
1.00E+01;1.41E-01
1.05E+01;1.32E-01
1.10E+01;1.15E-01
1.15E+01;1.10E-01
1.20E+01;1.02E-01
1.25E+01;8.59E-02
1.30E+01;7.89E-02
1.35E+01;7.36E-02
1.40E+01;6.36E-02
1.45E+01;6.51E-02
1.50E+01;6.00E-02
