t/min;Abs
0.00E+00;8.63E-01
5.00E-01;7.69E-01
1.00E+00;6.79E-01
1.50E+00;6.13E-01
2.00E+00;5.47E-01
2.50E+00;4.79E-01
3.00E+00;4.30E-01
3.50E+00;3.89E-01
4.00E+00;3.46E-01
4.50E+00;3.03E-01
5.00E+00;2.77E-01
5.50E+00;2.46E-01
6.00E+00;2.12E-01
6.50E+00;1.92E-01
7.00E+00;1.76E-01
7.50E+00;1.52E-01
8.00E+00;1.41E-01
8.50E+00;1.27E-01
9.00E+00;1.09E-01
9.50E+00;9.20E-02
1.00E+01;8.51E-02
1.05E+01;7.22E-02
1.10E+01;6.89E-02
1.15E+01;6.53E-02
1.20E+01;5.06E-02
1.25E+01;4.78E-02
1.30E+01;4.34E-02
1.35E+01;4.10E-02
1.40E+01;3.60E-02
1.45E+01;2.87E-02
1.50E+01;2.37E-02
