t/min;Abs
0.00E+00;8.25E-01
5.00E-01;6.99E-01
1.00E+00;5.92E-01
1.50E+00;5.05E-01
2.00E+00;4.24E-01
2.50E+00;3.57E-01
3.00E+00;3.06E-01
3.50E+00;2.62E-01
4.00E+00;2.14E-01
4.50E+00;1.87E-01
5.00E+00;1.55E-01
5.50E+00;1.31E-01
6.00E+00;1.16E-01
6.50E+00;9.64E-02
7.00E+00;7.90E-02
7.50E+00;6.43E-02
8.00E+00;5.68E-02
8.50E+00;4.83E-02
9.00E+00;4.38E-02
9.50E+00;3.94E-02
1.00E+01;3.47E-02
1.05E+01;2.61E-02
1.10E+01;2.41E-02
1.15E+01;1.61E-02
1.20E+01;1.97E-02
1.25E+01;1.04E-02
1.30E+01;6.70E-03
1.35E+01;8.82E-03
1.40E+01;9.37E-03
1.45E+01;6.52E-03
1.50E+01;8.55E-03
