t/min;Abs
0.00E+00;8.85E-01
5.00E-01;7.36E-01
1.00E+00;6.11E-01
1.50E+00;5.00E-01
2.00E+00;4.16E-01
2.50E+00;3.47E-01
3.00E+00;2.94E-01
3.50E+00;2.44E-01
4.00E+00;1.97E-01
4.50E+00;1.70E-01
5.00E+00;1.42E-01
5.50E+00;1.12E-01
6.00E+00;9.33E-02
6.50E+00;7.55E-02
7.00E+00;6.97E-02
7.50E+00;5.19E-02
8.00E+00;4.67E-02
8.50E+00;3.93E-02
9.00E+00;3.54E-02
9.50E+00;2.26E-02
1.00E+01;2.60E-02
1.05E+01;2.27E-02
1.10E+01;1.15E-02
1.15E+01;9.10E-03
1.20E+01;1.22E-02
1.25E+01;1.20E-02
1.30E+01;9.50E-03
1.35E+01;1.05E-02
1.40E+01;8.12E-03
1.45E+01;4.98E-03
