Num;CP;CT;TP;Final
1.0;4.5;11;12.41;9.8
2.0;;1;8.7;3.06
3.0;2.5;4.5;;2.65
4.0;15;5;13.05;9.91
5.0;14.5;10;14.28;12.41
6.0;2;3;13.2;5.81
7.0;;13.25;11.05;9.28
8.0;16;6;14.58;11.07
9.0;;;;0
10.0;19.5;12.5;10.8;13.74
11.0;16;8;12.1;11.23
12.0;7.75;6;10.6;7.82
13.0;16.5;5;14.1;10.6
14.0;11.5;11;15.48;12.47
15.0;4;2;12.74;5.72
16.0;3;3;8.75;4.73
17.0;12.5;7.75;12.28;10.3
18.0;2.5;1.5;12.1;4.93
19.0;17;10;9.75;11.68
20.0;18;10.5;13.58;13.3
21.0;18.5;16;11.3;15.21
22.0;8.5;13;13.55;12.04
23.0;16;17;13.51;15.7
24.0;8;7;11.83;8.7
25.0;19.5;19;16.33;18.32
26.0;16.5;12;14.75;13.95
27.0;1.5;2;13.53;5.33
28.0;17;13.5;14.93;14.8
29.0;6.5;9;14.22;9.94
30.0;15.5;13;10.65;12.92
31.0;20;17;16.45;17.59
32.0;18;14;13.28;14.78
33.0;18;12.75;11.63;13.73
34.0;8;6;9.81;7.64
35.0;13.5;10;11.49;11.32
36.0;9;11.5;8.63;10.01
37.0;11;13;13.16;12.55
38.0;10;8;13.47;10.14
39.0;18;13;13.58;14.42
40.0;3.5;9;14.2;9.19
41.0;10.5;12;11.43;11.45
42.0;18.5;15;15.6;16.06
43.0;13.5;15;12.6;13.91
44.0;10;7.5;11.23;9.24
45.0;20;14;15.58;15.97
46.0;12;12;12.5;12.15
47.0;4;10;10.45;8.64
48.0;15;14;13.1;13.98
49.0;12.5;7;11.73;9.79
50.0;15;6.5;15.88;11.44
51.0;9.5;7;12.18;9.18
52.0;17.5;12.5;13.5;14.05
53.0;17.5;12;10.93;13.05
54.0;4.5;8;13.24;8.7
55.0;4.5;10;11.5;9.08
56.0;11;9.5;13.33;11.02
57.0;13.5;9;9.83;10.37
58.0;4;8;10.93;7.88
59.0;;10;12.43;8.23
60.0;8.5;8.5;9.68;8.85
61.0;19;9.75;14.3;13.43
62.0;15;8;10.4;10.47
63.0;3.5;9;10.05;7.94
64.0;4;10;10.9;8.77
65.0;15;10;10.8;11.49
66.0;15;11;11.83;12.25
67.0;;9;11.14;7.39
68.0;16;12.5;16.23;14.49
69.0;4.5;7.75;12.5;8.36
70.0;16;12.5;12.15;13.27
71.0;13.5;10;11.05;11.19
72.0;13.5;12;10.8;12.02
73.0;6;1.5;9.48;5.02
74.0;12.5;9;12.39;10.89
75.0;;;15.72;4.71
76.0;9;4;13.6;8.13
77.0;15.5;12;10.51;12.43
78.0;2.5;4;13.18;6.38
79.0;17.5;14.5;13.65;15
80.0;4;9;10.53;8.21
