ppm Intensity
1.070763465829189975e+01 -4.233645395849733177e+03
1.070726798137183877e+01 -4.341102232571503919e+03
1.070690130445177779e+01 -4.046617810533920874e+03
1.070653462753171681e+01 -4.398523201278843771e+03
1.070616795061165583e+01 -3.787969769208320031e+03
1.070580127369159484e+01 -4.899544351124045534e+03
1.070543459677153386e+01 -4.213542503921160460e+03
1.070506791985147288e+01 -3.754323098944551930e+03
1.070470124293141190e+01 -4.145808246702548786e+03
1.070433456601135092e+01 -4.414178459418732928e+03
1.070396788909128993e+01 -4.018740089575041566e+03
1.070360121217122895e+01 -3.968360204551780043e+03
1.070323453525116797e+01 -3.917342764553227880e+03
1.070286785833110699e+01 -4.658543968442135338e+03
1.070250118141104601e+01 -4.369087895356991794e+03
1.070213450449098502e+01 -4.495690532903005078e+03
1.070176782757092404e+01 -3.893432923229245716e+03
1.070140115065086306e+01 -4.201617981492167019e+03
1.070103447373080208e+01 -4.434158012293224601e+03
1.070066779681074109e+01 -3.902784742324789022e+03
1.070030111989068011e+01 -3.903653842621028161e+03
1.069993444297061913e+01 -4.274761729633833966e+03
1.069956776605055815e+01 -4.047111012881140596e+03
1.069920108913049717e+01 -4.161668689278117199e+03
1.069883441221043618e+01 -3.905221923904561663e+03
1.069846773529037520e+01 -4.031393988787608578e+03
1.069810105837031422e+01 -3.893866109687705830e+03
1.069773438145025324e+01 -4.092604283663364640e+03
1.069736770453019226e+01 -4.568518679106933632e+03
1.069700102761013127e+01 -4.193772920544141016e+03
1.069663435069007029e+01 -4.229549448910667707e+03
1.069626767377000931e+01 -4.145326043512302931e+03
1.069590099684994833e+01 -4.484222231632407784e+03
1.069553431992988735e+01 -3.995392492141817456e+03
1.069516764300982636e+01 -3.888101306683745861e+03
1.069480096608976538e+01 -4.080777429524137006e+03
1.069443428916970440e+01 -4.064196082310358179e+03
1.069406761224964342e+01 -4.452661460151820393e+03
1.069370093532958244e+01 -4.059735740533093121e+03
1.069333425840952145e+01 -4.257435711237620126e+03
1.069296758148946047e+01 -4.119119877602083761e+03
1.069260090456939949e+01 -3.963208496509229917e+03
1.069223422764933851e+01 -3.760681746417618342e+03
1.069186755072927753e+01 -3.950628157867704431e+03
1.069150087380921654e+01 -3.902896135911509191e+03
1.069113419688915556e+01 -4.673718959531192013e+03
1.069076751996909458e+01 -4.265470277540786810e+03
1.069040084304903360e+01 -4.198646678681978301e+03
1.069003416612897261e+01 -4.519062681118741239e+03
1.068966748920891163e+01 -4.141915997023346790e+03
1.068930081228885065e+01 -3.840259233668214620e+03
1.068893413536878967e+01 -3.603747537536904019e+03
1.068856745844872869e+01 -4.020560345933983626e+03
1.068820078152866770e+01 -3.701306782394068705e+03
1.068783410460860672e+01 -4.077056602293727792e+03
1.068746742768854574e+01 -4.059551988629636071e+03
1.068710075076848476e+01 -3.872573412108504272e+03
1.068673407384842378e+01 -3.696213885949661744e+03
1.068636739692836279e+01 -3.677277465004995065e+03
1.068600072000830181e+01 -3.723595517192989064e+03
1.068563404308824083e+01 -3.828509625006732676e+03
1.068526736616817985e+01 -4.330185582781071389e+03
1.068490068924811887e+01 -3.555803692515943112e+03
1.068453401232805788e+01 -3.580986977992696666e+03
1.068416733540799690e+01 -3.873866182195855799e+03
